,,,,,,,,
,AS,RNG,CD > ELEC(infl),,,,,
,,,,,,,,
[Argo & Vel],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Argonak],MS,CC > CD,CC > TOX / FR / DMG / SC,IMP > Z > REC,,,,
,,,,,,,,
[Arum Spinosa],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG > AS,,,,,
,,,,,,,,
[Artax],MS,TOX,DMG,DTI > DTC,,,,
,,,,,,,,
[Astilla],MS,CD,CC > FR / TOX / DMG / SC,IMP > REC,,,,
,,,,,,,,
[Athodai],MS,CD,CC > FR / TOX / DMG / SC / PT,Z > REC,,,,
,,,,,,,,
[Atomos],MS,CD,CC > FR / TOX / DMG / SC,Z > REC > AMMO > MAG,,,,
,,,,,,,,
[Atterax],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Attica],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[AX-52],MS,CD,CC > TOX / FR / DMG > SC,Z / PUNC* > REC,* -PUNC removes most of the base damage but sells well,,,
,,,,,,,,
,CD,CC / DMG,DMG / TOX / FR,,"[Primary Acuity] rolls  |  Gets +400% headshot CC when aiming,",,,
,,,,,but rolls without CC still sell worse. DMG doesn't sell well but is ideal,,,
[Azima],MS,CD,CC > FR / TOX / DMG / SC,Z / PFS > REC,,,,
,,,,,,,,
[Azothane],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Balla],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE / EFF / FIN,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,,,,
,CD,DMG,COLD / HEAT,SLIDE / EFF / FIN / RNG / SC / DTI / DTG,Profit Taker rolls that sell well,,,
,,,,,,,,
[Ballistica],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z > REC / AMMO(inc) / MAG(inc),,,,
,,,,,,,,
[Basmu],MS,CD,CC > TOX  / FR / DMG / SC,Z / AMMO* > REC,* Infinite Ammo Battery,,,
,,,,,,,,
[Batoten],CC,DMG,CD,IMP > PUNC > SLIDE / FIN / EFF,,,,
,,,,,,,,
,AS,RNG,CD,,,,,
,,,,,,,,
[Battacor],MS,CD,CC > TOX / FR / DMG / SC,PUNC > IMP(0%) / Z / SL(0%) > REC,,,,
,,,,,,,,
[Baza],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z / PUNC > REC,,,,
,,,,,,,,
[Bo],AS,RNG / CD,CD > ELEC(infl),IMP >> SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Boar],MS,HEAT(inc),SC / FR / DMG,IMP > REC > SL(inc) / AMMO(inc),,,,
,,,,,,,,
,MS,CD,CC > FR / TOX / DMG / SC,,,,,
,,,,,,,,
,MS,FR,NONE / CD / DMG,AMMO / RLS > IMP > REC,Cyte rolls,,,
,,,,,,,,
[Bolto],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Boltace],AS,RNG,CD > ELEC(infl),PUNC > FIN / EFF / SLIDE,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Boltor],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Brakk],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z > PUNC > REC,scipha,,,
,,,,,,,,
[Braton],MS,CD,CC > TOX > FR / DMG / SC,IMP(Vandal) / PUNC(Prime) > Z > REC,,,,
,,,,,,,,
,CC,CD,TOX / DMG / FR,,,,,
,,,,,,,,
[Broken Scepter],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Broken War],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Bronco],MS,CD,CC > FR* / TOX / DMG / SC,IMP* > Z >REC > AMMO,* -IMP and +FR are both bad for [Hemorrhage] Builds,,,
,,,,,,,,
[Bubonico],MS,CD / FR,CC / FR / TOX / ELEC / DMG / SC,IMP / PUNC > AMMO* > REC > SL,* Infinite Ammo Battery,,,
,,,,,,,,
,MS,SC,DMG,,,,,
,,,,,,,,
[Burst Laser],MS,CD,CC,PUNC,,,,
,,,,,,,,
[Burston],CC,CD,TOX / DMG / FR,IMP > PUNC / Z > REC / AMMO(inc) / MAG(inc) > SL(inc),,,,
,,,,,,,,
,MS,CD,CC > TOX > FR / DMG / SC,,,,,
,,,,,,,,
[Buzlok],MS,CC > CD,CC > TOX / FR / DMG / SC,IMP > Z > PUNC > REC,,,,
,,,,,,,,
[Cadus],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Cantare],MS,CD,CC > FR / TOX / DMG / SC,Z > REC > AMMO*,* Infinite Ammo (projectiles return to magazine gimmick),,,
,,,,,,,,
[Cassowar],AS,RNG,CD / ELEC(infl),PUNC > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Castanas],CC,CD,DMG / TOX / FR,IMP > Z > REC,,,,
,,,,,,,,
,MS,CD,CC > FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Catabolyst],MS,CD,CC > FR / TOX / DMG / SC,Z > REC,,,,
,,,,,,,,
,CD,DMG,CC > FR > TOX,Z > MAG* / PFS* / REC / RLS     ,* -MAG and -PFS only harmless for grenade rolls and have less value,, -RLS secret synth tech,
,,,,,,,,
[Catchmoon],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z / PUNC(0%) / SL(0%) > REC > AMMO*,* Infinite Ammo Battery with [Pax Charge],,,
,,,,,,,,
[Caustacyst],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Cedo],MS,TOX,FR / PT / DMG,PUNC > REC / AMMO*,* -AMMO is the best negative for use but doesnt sell as well,,,
,,,,,,,,
,MS,CD,FR / CC > TOX  / DMG / SC,,,,,
,,,,,,,,
[Ceramic Dagger],CC,IC*,NONE** / DMG / CD / AS,PUNC > SLIDE > EFF / FIN,* 34 IC breakpoint for constant 11x combo,,,
,,,,,,,,
,,,,,** CC IC 2+1- for [Secondary Outburst],,,
,,,,,,,,
,AS,RNG,CD > ELEC(infl),,-PUNC -EFF not ideal for Heavy spam rolls,,,
,,,,,,,,
,,,,,-FIN harmful for [Melee Crescendo],,,
,,,,,,,,
[Cerata],CC,DMG,CD / IC,SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Cernos],MS,CD,CC > TOX / FR* / DMG / SC,IMP* / Z / MAG > REC,* -IMP not usable for [Internal Bleeding],,,
,,,,,,,,
,,,,,and +74.9% maximum FR breakpoint for it,,,
,,,,,,,,
[Cestra],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Cinta],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z / MAG > REC,,,,
,,,,,,,,
,CC,CD,DMG / FR,,[Primary Acuity] rolls,,,
,,,,,,,,
[Cobra & Crane],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Coda Bassocyst],MS,CD,CC > FR / TOX / DMG / ELEC,REC,,,,
,,,,,,,,
,MS,FR,DMG / ELEC / SC,,,,,
,,,,,,,,
[Coda Motovore],AS,RNG,CD > ELEC(infl),IMP* / PUNC* / SL / FIN / EFF** / SLIDE,* -IMP and -PUNC are harmful to the Heavy Slam damage,,,
,,,,,,,,
,CC,CD,DMG / AS,,** -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Convectrix],MS,FR / CD,SC / ELEC / HEAT,SL,,,,
,,,,,,,,
,MS,CD,CC / FR > DMG,REC / SL,,,,
,,,,,,,,
[Corinth],MS,CD,CC > FR / TOX / DMG / SC,IMP / PUNC > REC,,,,
,,,,,,,,
[Cortege],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
[Corufell],CC,CD,DMG / AS,IMP > PUNC > SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,AS,RNG,CD > ELEC(infl),,,,,
,,,,,,,,
[Corvas],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z > REC,,,,
,,,,,,,,
,CD,DTC,ELEC / COLD > DTC,Z > SC / SD > AMMO > REC,Profit Taker rolls,,,
,,,,,,,,
[Cronus],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Cryotra],MS,FR,SC / PT,IMP > DTI > DTC,,,,
,,,,,,,,
,MS,CD,CC,IMP,,,,
,,,,,,,,
[Cyanex],MS,DMG,FR / TOX / SC,IMP > Z > REC,* CC roll bad for use but sells well,,,
,,,,,,,,
,MS,CD,CC* / FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Cyath],AS,RNG,CD > ELEC(infl),IMP > PUNC > SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,,,,
[Cycron],MS,CD,CC* > FR / TOX / DMG / SC,PUNC(0% Tenet) > IMP(0%) / Z / AMMO** > REC / SL(0% Tenet),Negatives order accounts for base Cycron (reflects in general sale value).,,,
,,,,,Tenet has no physical damage types. Base has no Impact.,,,
,,,,,* CC roll not ideal for use because of low riven disposition but sells well,,,
,,,,,** Infinite Ammo Battery,,,
,MS,FR,SC,,also a good roll for [Secondary Enervate],,,
,,,,,,,,
[Cyngas],MS,CD,CC > TOX / FR / DMG / SC,IMP > PUNC > Z > REC,,,,
,,,,,,,,
[Daikyu],MS,CD,CC > DMG / FR / TOX / SC,IMP / PUNC > Z / MAG > REC,,,,
,,,,,,,,
,CC,CD,DMG / FR / TOX,,[Primary Acuity] rolls,,,
,,,,,,,,
[Dakra Prime],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Dark Dagger],AS,RNG,CD / ELEC(infl),SLIDE / EFF / FIN,,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Dark Split-Sword],AS,RNG,CD > ELEC(infl),PUNC > IMP(0%) > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Dark Sword],CC,CD / DMG,DMG / TOX / CD / IC,SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,AS,RNG,CD / ELEC(infl),,,,,
,,,,,,,,
[Deconstructor],AS,RNG,CD,IMP > SLIDE / FIN / EFF,,,,
,,,,,,,,
[Dehtat],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,,,,
[Dera],MS,CD,CC / SC > TOX / FR / DMG,PUNC > Z > REC > AMMO(inc) > MAG(inc),,,,
,,,,,,,,
[Despair],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z > REC > AMMO(inc) > MAG(inc),,,,
,,,,,,,,
[Destreza],AS,RNG,CD > ELEC(infl),PUNC* > SLIDE / FIN / EFF**,* -PUNC can be harmful for incarnon evos if it removes all puncture,,,
,,,,,and has a maximum breakpoint of -97.6 (only possible with prime dispo),,,
,CC,CD,DMG / AS,,** -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Detron],MS,CD,CC > FR / TOX / DMG / SC,Z > REC,,,,
,,,,,,,,
,MS,PT,SC / FR / CD / DMG,,,,,
,,,,,,,,
[Dex Dakra],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Deth Machine Rifle],MS,FR,SC / PT,DTI > DTC > SL,,,,
,,,,,,,,
[Dokrahm],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,,,,
[Dorrclave],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Drakgoon],MS,CD,CC > FR / TOX / DMG / SC,REC > SL > AMMO,,,,
,,,,,,,,
[Dragon Nikana],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Dread],MS,CD,CC > TOX / FR / DMG / SC,Z / MAG > REC / AMMO(inc) / SL(inc),,,,
,,,,,,,,
,CC,CD,DMG / FR / TOX,,[Primary Acuity] rolls,,,
,,,,,,,,
[Dual Cestra],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Dual Cleavers],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Dual Coda Torxica],MS,FR / TOX / CD,CC > PT > FR / TOX / DMG / SC,PUNC > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Dual Decurion],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z > PUNC > REC,,,,
,,,,,,,,
,CC,DTC,AMMO / REC,Z > SC / SD,Profit Taker rolls,,,
,,,,,,,,
[Dual Ether],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Dual Heat Swords],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Dual Ichor],AS,CD > RNG,RNG > ELEC(infl),EFF / FIN / SLIDE,* 3 positives no negative unranked viral / gas roll is good for use,,,
,,,,,,,,
,TOX,ANY,HEAT / COLD*,NONE,,,,
,,,,,,,,
[Dual Kamas],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Dual Keres],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Dual Raza],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Dual Skana],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG ,,,,,
,,,,,,,,
[Dual Toxocyst],MS,CD,PT / CC > FR / DMG / SC,Z / PFS* / PUNC > REC > AMMO(inc) / MAG(inc),* Vintage negative,,,
,,,,,,,,
[Dual Viciss],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Dual Zoren],AS,RNG,CD > ELEC(infl),FIN / EFF / SLIDE / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Edun],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[EFV-5 Jupiter],MS,CD,CC > TOX / FR / DMG / SC,PUNC > IMP(0%) / Z > REC,,,,
,,,,,,,,
[EFV-8 Mars],MS,CD,CC > FR / TOX / DMG / SC,IMP > PUNC > Z / SL(0%) > REC,,,,
,,,,,,,,
[Ekhein],CC,CD,DMG / AS,IMP > SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,AS,RNG,CD > ELEC(infl),,,,,
,,,,,,,,
[Embolist],MS,DMG / FR,FR / SC / TOX,Z > REC,* CC roll bad for use but sells,,,
,,,,,,,,
,MS,CD,CC* / FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Endura],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Enkaus],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Epitaph],TOX,COLD,MS > FR / SC > ANY > NONE,IMP > Z / MAG* > REC > AMMO / DTI / RLS*** / PFS > ANY,Status priming rolls  |  disposition too low to completely remove impact,,,
,,,,,-IMP makes weighting well balanced for primer / hybrid primer builds,,,
,MS,SC,FR > SD,,*** Unnoticeable increase to reload delay for charged shot,,,
,,,,,which isn't used to prime but is used for hybrid primer builds,,,
,MS,CD,CC** > FR / TOX / DMG / SC,IMP > Z / PUNC / MAG* > REC,** CC roll not ideal for use but sells,,,
,,,,,(low riven disposition and only helps charged shot),,,
,,,,,* single shot magazine -MAG harmless,,,
[Ether Daggers],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Ether Reaper],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Ether Sword],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Euphona Prime],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z > REC,rivens won't save this,,,
,,,,,,,,
,MS,DMG,FR / SC / TOX,,Alt-fire rolls,,,
,,,,,,,,
[Evensong],MS,CD / CC,CC > TOX / FR / DMG / SC,Z / MAG > REC,,,,
,,,,,,,,
[Exergis],MS,DMG / FR,SC > SL / MAG / PT / TOX,PUNC > IMP >> REC > MAG**,* CC roll bad for use but sells well,,,
,,,,,,,,
,MS,CD,CC* > FR / DMG / SC / TOX,,** [Shotgun Elementalist] won't get 2 shots with -MAG,,,
,,,,,but may sell well for ideal rolls MS SC DMG/FR,,,
[Falcor],CC,ELEC(infl),DMG > CD > NONE,IMP > PUNC / SLIDE > FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG > IC,,,,,
,,,,,,,,
[Fang],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Felarx],MS,TOX,DMG / FR / PT,CC* > PUNC,* -CC for Devastating Attrition incarnon perk,,,
,,,,,,,,
,MS,CD,CC > FR / TOX / DMG / SC,PUNC,Good positives are more important than just -CC for slotting,,,
,,,,,,,,
[Ferrox],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,DMG FR TOX for throw,,,
,,,,,,,,
,DMG,FR,TOX ,,,,,
,,,,,,,,
[Fluctus],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
[Flux Rifle],MS,CD,CC > TOX / FR / DMG / SC,Z > REC > SL / AMMO*,* -AMMO specifically for base Flux Rifle (Infinite Ammo Battery),,,
,,,,,,,,
[Fragor],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Fulmin],MS,CD,CC > TOX / DMG / FR* / SC,IMP* > Z / AMMO** > REC,* +FR and -IMP bad for [Internal Bleeding],,,
,,,,,,,,
